Case,X,Y,Z,a,v,modeSelected,area_type,index,headX,headY,headZ,eyeX,eyeY,eyeZ
145,0.06961592,1.336984,0.3938417,21.9895,1.438825,Tap,3,-1,-0.03877135,1.183868,-0.06986952,-0.1987089,0.07867705,0.03375535
145,0.0739928,1.338647,0.4070911,-36.81042,0.7026172,Tap,3,-1,-0.03851748,1.184144,-0.06777716,-0.1992813,0.07830412,0.03074603
145,0.07350391,1.337754,0.4098287,-27.82911,0.146035,Tap,3,-1,-0.03817168,1.184979,-0.06361771,-0.2007965,0.07809523,0.02326076
145,0.07638261,1.341154,0.4198732,20.16899,0.5494147,Tap,3,-1,-0.03789718,1.185473,-0.0617218,-0.201512,0.07686134,0.02265285
145,0.07976368,1.338968,0.4336185,8.33666,0.7161479,Tap,3,-1,-0.03718454,1.185968,-0.05768585,-0.2028172,0.07299133,0.02464537
145,0.08602696,1.341484,0.4611192,34.98485,1.415845,Tap,3,-1,-0.03760161,1.186439,-0.0559907,-0.2034736,0.0728351,0.02042543
145,0.08924276,1.344311,0.4742017,-36.379,0.688265,Tap,3,-1,-0.03806663,1.187282,-0.05229568,-0.2058039,0.07156423,0.01454225
145,0.09240191,1.345338,0.4855905,-4.754931,0.5931664,Tap,3,-1,-0.03817806,1.187067,-0.05040598,-0.2068615,0.0698752,0.01507835
145,0.09381354,1.344659,0.4887147,-20.9212,0.1747424,Tap,3,-1,-0.03915523,1.187073,-0.0464325,-0.2084019,0.06643797,0.01369055
145,0.09509236,1.344532,0.48913,-5.360628,0.0675298,Tap,3,-1,-0.03915523,1.187073,-0.0464325,-0.2084019,0.06643797,0.01369055
145,0.09509236,1.344532,0.48913,-3.37649,0,Tap,3,-1,-0.04030261,1.186367,-0.0414362,-0.2083726,0.06207609,0.01465421
146,0.1096374,1.35141,0.5227733,93.23132,1.864626,Tap,1,3,-0.04744896,1.183583,-0.02622318,-0.1968699,0.0626772,0.01628853
146,0.1075663,1.350922,0.5168004,-77.37999,0.3170266,Tap,1,3,-0.04744896,1.183583,-0.02622318,-0.1968699,0.0626772,0.01628853
146,0.1075663,1.350922,0.5168004,-15.85133,0,Tap,1,3,-0.04744896,1.183583,-0.02622318,-0.1968699,0.0626772,0.01628853
146,0.1075663,1.350922,0.5168004,0,0,Tap,1,3,-0.04744896,1.183583,-0.02622318,-0.1968699,0.0626772,0.01628853
146,0.1075663,1.350922,0.5168004,0,0,Tap,1,3,-0.04744896,1.183583,-0.02622318,-0.1968699,0.0626772,0.01628853
146,0.1075663,1.350922,0.5168004,0,0,Tap,1,3,-0.04744896,1.183583,-0.02622318,-0.1968699,0.0626772,0.01628853
146,0.1075663,1.350922,0.5168004,0,0,Tap,1,3,-0.04744896,1.183583,-0.02622318,-0.1968699,0.0626772,0.01628853
146,0.1075663,1.350922,0.5168004,0,0,Tap,1,3,-0.04744896,1.183583,-0.02622318,-0.1968699,0.0626772,0.01628853
146,0.1075663,1.350922,0.5168004,0,0,Tap,1,3,-0.04744896,1.183583,-0.02622318,-0.1968699,0.0626772,0.01628853
146,0.1075663,1.350922,0.5168004,0,0,Tap,1,3,-0.04744896,1.183583,-0.02622318,-0.1968699,0.0626772,0.01628853
146,0.1075663,1.350922,0.5168004,0,0,Tap,1,3,-0.04744896,1.183583,-0.02622318,-0.1968699,0.0626772,0.01628853
146,0.1075663,1.350922,0.5168004,0,0,Tap,1,3,-0.04744896,1.183583,-0.02622318,-0.1968699,0.0626772,0.01628853
146,0.1075663,1.350922,0.5168004,0,0,Tap,1,3,-0.04744896,1.183583,-0.02622318,-0.1968699,0.0626772,0.01628853
146,0.1075663,1.350922,0.5168004,0,0,Tap,1,3,-0.04744896,1.183583,-0.02622318,-0.1968699,0.0626772,0.01628853
146,0.1075663,1.350922,0.5168004,0,0,Tap,1,3,-0.05007642,1.182015,-0.02484465,-0.1917535,0.06603436,0.02574051
146,0.1227263,1.366094,0.5140185,54.06888,1.081378,Tap,4,-1,-0.05007642,1.182015,-0.02484465,-0.1917535,0.06603436,0.02574051
146,0.1227263,1.366094,0.5140185,-54.06888,0,Tap,4,-1,-0.05065337,1.181119,-0.02471495,-0.1891736,0.06462552,0.03291946
146,0.1258332,1.371504,0.512538,16.0303,0.320606,Tap,4,-1,-0.05191827,1.181715,-0.0247798,-0.1889661,0.06453743,0.02237957
