Case,X,Y,Z,a,v,modeSelected,area_type,index,headX,headY,headZ,eyeX,eyeY,eyeZ,thumbX,thumbY,thumbZ
1,0.2478313,1.312067,0.4570765,-42.17188,0.5887462,magicTap,3,-1,0.01311192,1.163755,0.006246567,-0.1843787,0.2024591,0.05911266,0.2827003,1.231642,0.4719124
1,0.2487253,1.31622,0.4597921,-16.83097,0.2521268,magicTap,3,-1,0.01378197,1.164095,0.00583601,-0.1853409,0.2006616,0.06012795,0.2836684,1.235758,0.4759121
1,0.2509693,1.317338,0.4579811,-4.874152,0.1546437,magicTap,3,-1,0.01497892,1.164325,0.005190849,-0.1871998,0.1975195,0.0614391,0.2847927,1.239341,0.4681616
1,0.2378176,1.308054,0.4675112,39.0382,0.9354078,magicTap,3,-1,0.01528421,1.164464,0.004909515,-0.1881357,0.1962863,0.06116273,0.272155,1.228954,0.4715309
1,0.2344937,1.305859,0.4745955,-26.45204,0.4063671,magicTap,3,-1,0.01587293,1.164788,0.00447464,-0.1894628,0.1945076,0.06077135,0.2685141,1.226846,0.4770746
1,0.2272185,1.302559,0.4736514,-0.2077624,0.4022118,magicTap,3,-1,0.0163966,1.164921,0.004082203,-0.1913151,0.1929987,0.06040709,0.2612685,1.223792,0.4760599
1,0.2157695,1.300485,0.4715395,9.45292,0.5912702,magicTap,3,-1,0.0163966,1.164921,0.004082203,-0.1913151,0.1929987,0.06040709,0.2510293,1.223056,0.4746594
1,0.2157695,1.300485,0.4715395,-29.56351,0,magicTap,3,-1,0.01818186,1.165275,0.002766132,-0.1970895,0.186484,0.05753985,0.2510293,1.223056,0.4746594
1,0.2162326,1.30149,0.4746065,8.15112,0.1630224,magicTap,3,-1,0.01828391,1.165379,0.002693176,-0.1989126,0.1842451,0.05489101,0.2526192,1.224651,0.4771929
1,0.2181497,1.300112,0.4829087,13.42747,0.4315719,magicTap,3,-1,0.01880238,1.165591,0.002328396,-0.2028661,0.1794237,0.05153363,0.2579804,1.224569,0.4836159
1,0.2156261,1.298442,0.4904804,-1.19393,0.4076933,magicTap,3,-1,0.01895857,1.165729,0.0022645,-0.2054358,0.1762908,0.04932066,0.2567904,1.223253,0.4905634
1,0.2158538,1.297998,0.4960976,-6.28636,0.2819661,magicTap,3,-1,0.01911148,1.1659,0.002263069,-0.2071899,0.1738273,0.0474382,0.2556806,1.222081,0.4963164
1,0.2100772,1.298154,0.5076065,18.09732,0.6439125,magicTap,3,-1,0.01948253,1.166062,0.001942158,-0.2102817,0.1684092,0.04388257,0.2519944,1.22259,0.5072322
1,0.2093073,1.302321,0.5211186,3.207061,0.7080537,magicTap,1,2,0.01929111,1.166063,0.002150536,-0.2102539,0.1660127,0.04341855,0.2531131,1.228554,0.5230441
1,0.2093343,1.30214,0.5226264,-31.6056,0.07594165,magicTap,1,2,0.0193477,1.166224,0.002198696,-0.2120003,0.1609836,0.04139647,0.2533766,1.228587,0.5245004
1,0.2087567,1.301503,0.5347657,26.62727,0.608487,magicTap,1,2,0.01931491,1.166332,0.002253532,-0.2126634,0.1586481,0.04047887,0.2546265,1.230132,0.535749
1,0.204181,1.298529,0.5312033,-14.13227,0.3258416,magicTap,1,2,0.01923353,1.166513,0.002445698,-0.2130673,0.1556923,0.03859212,0.2505274,1.227663,0.5319934
1,0.1955807,1.291839,0.5253692,14.60672,0.617976,magicTap,1,2,0.01920857,1.166587,0.002531528,-0.2129319,0.154531,0.03793215,0.2430146,1.221958,0.5250111
1,0.1955474,1.292092,0.526485,-28.0373,0.05722998,magicTap,1,2,0.01915477,1.166661,0.002692223,-0.2124076,0.1520342,0.03724502,0.2420574,1.222154,0.5258226
1,0.1972562,1.293652,0.5284157,4.671566,0.1506613,magicTap,1,2,0.0191115,1.166675,0.00276947,-0.2123915,0.150983,0.03701015,0.2413809,1.223204,0.5277982
