Case,X,Y,Z,a,v,modeSelected,area_type,index,headX,headY,headZ,eyeX,eyeY,eyeZ
49,0.02737971,0.9752517,0.4839354,-0.5430549,0.7297707,longPress,3,-1,0.001146276,1.154626,-0.02430677,0.07108033,0.1222277,-0.04206368
49,0.07168009,0.9500411,0.4826651,90.97984,2.549367,longPress,3,-1,0.002415795,1.154751,-0.02510881,0.07064488,0.1237225,-0.04127077
49,0.08391919,0.943396,0.4736457,-85.98782,0.8296111,longPress,3,-1,0.004550152,1.155037,-0.02632046,0.06957678,0.1261296,-0.04142489
49,0.1100822,0.9275379,0.4771819,35.5133,1.539877,longPress,3,-1,0.005473117,1.155044,-0.02694654,0.06886114,0.1275146,-0.04290371
49,0.1248879,0.9183958,0.4776587,-33.47554,0.8703662,longPress,3,-1,0.0078081,1.15521,-0.02792263,0.06797364,0.1294449,-0.04515637
49,0.1596957,0.8998194,0.4807215,55.41499,1.978666,longPress,3,-1,0.009033855,1.155486,-0.02817345,0.06714598,0.1297887,-0.04508674
49,0.1742756,0.8874097,0.4881158,-47.62256,1.026215,longPress,3,-1,0.01015335,1.1557,-0.02831697,0.06595671,0.1301693,-0.04516407
49,0.1906723,0.8848585,0.4840655,-8.607784,0.854059,longPress,3,-1,0.01106695,1.155528,-0.02852631,0.06505271,0.130043,-0.04635586
49,0.2059333,0.8776501,0.4847126,-0.4775643,0.8445078,longPress,3,-1,0.01331712,1.155536,-0.02899313,0.06404577,0.130849,-0.04799056
49,0.2207775,0.8697492,0.4842639,-0.1706928,0.8410939,longPress,3,-1,0.01566829,1.155861,-0.02891159,0.06342475,0.1308399,-0.0491869
49,0.2513688,0.864225,0.4795346,36.55461,1.572186,longPress,3,-1,0.01680966,1.156025,-0.02868795,0.06279115,0.131046,-0.04997003
49,0.2522603,0.8600783,0.4834847,-64.11948,0.2897965,longPress,3,-1,0.01916075,1.156185,-0.02845287,0.06201833,0.1316413,-0.05182066
49,0.2658158,0.8551814,0.4812069,21.98963,0.7295891,longPress,3,-1,0.02038081,1.156337,-0.02829885,0.06216891,0.1319298,-0.05250933
49,0.2652177,0.8516444,0.4794087,-26.44782,0.2006328,longPress,3,-1,0.02259713,1.15665,-0.02768946,0.06162449,0.1330525,-0.0533803
49,0.2710086,0.8502089,0.4831572,7.583355,0.3522999,longPress,3,-1,0.02364133,1.156732,-0.02731991,0.06109286,0.1335947,-0.05389427
49,0.2679695,0.8521412,0.4835296,-8.563469,0.1810305,longPress,3,-1,0.02454537,1.156701,-0.02693462,0.06081853,0.1337774,-0.05451164
49,0.2656827,0.8527588,0.4836774,-3.118224,0.1186661,longPress,3,-1,0.02646821,1.156826,-0.02601767,0.06123963,0.1340564,-0.05541888
49,0.2624144,0.8555737,0.4831634,4.926492,0.2171959,longPress,3,-1,0.0274572,1.156985,-0.02545118,0.06112969,0.1339916,-0.05534449
49,0.26211,0.8533497,0.4868164,-0.1408905,0.2143781,longPress,3,-1,0.0289905,1.157033,-0.02421856,0.06013926,0.1330647,-0.05588567
49,0.2581002,0.8500987,0.4950666,13.6115,0.4866081,longPress,3,-1,0.02946424,1.157007,-0.02370119,0.06007385,0.1325472,-0.05662569
49,0.2585388,0.8482694,0.4994149,-12.48606,0.2368869,longPress,3,-1,0.0306419,1.157037,-0.02263546,0.06036298,0.131284,-0.05884676
49,0.256193,0.8480489,0.5074368,9.057388,0.4180347,longPress,3,-1,0.03112652,1.157102,-0.02212954,0.06064916,0.1303185,-0.05892281
49,0.2543211,0.849337,0.510262,-11.83759,0.1812829,longPress,3,-1,0.03188923,1.157217,-0.02097559,0.06034001,0.1278415,-0.05921151
49,0.2481156,0.8503537,0.5162048,12.56612,0.4326053,longPress,3,-1,0.03219216,1.157221,-0.0204978,0.06047489,0.126908,-0.06004639
49,0.2452515,0.8502516,0.5186114,-12.27437,0.1871179,longPress,3,-1,0.03251921,1.157253,-0.02007532,0.06081337,0.1260984,-0.06058503
49,0.2395931,0.8504823,0.5204463,5.526521,0.2976483,longPress,3,-1,0.03304584,1.157371,-0.01921844,0.06109986,0.1238468,-0.05991286
49,0.2323623,0.8516135,0.5213065,3.540316,0.3684547,longPress,3,-1,0.03328019,1.157429,-0.01870346,0.06076837,0.1227417,-0.05999286
49,0.2283271,0.850513,0.524878,-4.672738,0.2749999,longPress,3,-1,0.03367582,1.157583,-0.01777029,0.06036228,0.1214318,-0.06046757
49,0.2292741,0.848682,0.5297108,-0.6148696,0.2627025,longPress,3,-1,0.03386347,1.157532,-0.0174942,0.06020605,0.1205585,-0.06014818
49,0.2277212,0.8473376,0.5310383,-7.020962,0.1222833,longPress,3,-1,0.03384924,1.157749,-0.01675034,0.06015837,0.1183581,-0.06072903
49,0.229649,0.8472298,0.5331745,1.084599,0.1439753,longPress,3,-1,0.03384924,1.157749,-0.01675034,0.06015837,0.1183581,-0.06072903
49,0.229649,0.8472298,0.5331745,-7.198764,0,longPress,3,-1,0.03396648,1.157865,-0.01595831,0.05912155,0.1161992,-0.06164449
49,0.229893,0.8446655,0.534853,7.686106,0.1537221,longPress,3,-1,0.03408574,1.157872,-0.01539803,0.05862861,0.1142223,-0.06212972
49,0.2311755,0.8437575,0.5357003,-3.222737,0.08926738,longPress,3,-1,0.03408331,1.157871,-0.01518202,0.05881434,0.1133673,-0.06224427
49,0.2322317,0.8438433,0.5359058,-1.764889,0.05396961,longPress,3,-1,0.03414335,1.157804,-0.01482868,0.05955679,0.112338,-0.06282241
49,0.2332989,0.8429463,0.5360317,0.8009551,0.06998871,longPress,3,-1,0.03425127,1.157876,-0.01446581,0.05963533,0.1118964,-0.06308658
49,0.2351266,0.8423594,0.5363655,1.371602,0.09742075,longPress,3,-1,0.03439969,1.157837,-0.01419973,0.05951968,0.1117184,-0.06312431
49,0.2375794,0.8406954,0.5375891,3.145509,0.1603309,longPress,3,-1,0.03442282,1.157785,-0.0141058,0.05969997,0.1118306,-0.06329805
49,0.2394925,0.8383914,0.5384145,-0.2505839,0.1553193,longPress,3,-1,0.03454723,1.157786,-0.01399899,0.05961057,0.1116756,-0.0632932
49,0.2387606,0.8395436,0.5377846,-4.007626,0.07516675,longPress,3,-1,0.03454723,1.157786,-0.01399899,0.05961057,0.1116756,-0.0632932
49,0.2387606,0.8395436,0.5377846,-3.758337,0,longPress,3,-1,0.03481081,1.157733,-0.01402617,0.059802,0.1125542,-0.06409246
49,0.2405133,0.8400235,0.5372744,4.718627,0.09437253,longPress,1,14,0.0349925,1.157713,-0.0140872,0.06006377,0.113401,-0.06390977
49,0.2417096,0.8402594,0.5370655,-1.625859,0.06185535,longPress,1,14,0.03521967,1.157735,-0.01412249,0.06008058,0.1141367,-0.06363027
49,0.2430753,0.8410001,0.5357118,2.058944,0.1030342,longPress,1,14,0.03553051,1.157829,-0.01414108,0.05924631,0.1153136,-0.06369842
49,0.2457239,0.8401393,0.5353742,1.861742,0.1402691,longPress,1,14,0.03556713,1.157853,-0.01418972,0.05914423,0.1157525,-0.06393841
49,0.2467039,0.839833,0.5351052,-4.359991,0.05306926,longPress,1,14,0.0357291,1.157752,-0.01438999,0.05920538,0.1160492,-0.06396061
49,0.2497693,0.838674,0.5359836,5.828705,0.1696434,longPress,1,14,0.03577096,1.157654,-0.01454496,0.05946282,0.1160823,-0.06410984
49,0.2502965,0.8381689,0.5363092,-6.483513,0.03997309,longPress,1,14,0.03581076,1.157577,-0.01487541,0.05960968,0.1165765,-0.06443895
49,0.2513894,0.8379653,0.535677,1.198768,0.06394845,longPress,3,-1,0.03585104,1.157634,-0.01503563,0.05933385,0.116861,-0.06482303
