Case,X,Y,Z,a,v,modeSelected,area_type,index,headX,headY,headZ,eyeX,eyeY,eyeZ
1,0.1053238,1.074921,0.4087977,9.984708,1.619902,pinch,3,-1,0.01132856,1.125332,-0.0144496,-0.08396774,0.1760073,-0.002579671
1,0.1153143,1.076024,0.4089723,-55.86338,0.5026347,pinch,3,-1,0.01305919,1.125365,-0.01461124,-0.08403211,0.1756451,-0.00206773
1,0.1235639,1.079031,0.4083352,-3.122433,0.4401861,pinch,3,-1,0.01603991,1.125457,-0.01492071,-0.0839234,0.1755484,-0.003034445
1,0.1447583,1.083553,0.409914,32.31296,1.086445,pinch,3,-1,0.01782631,1.125337,-0.0151186,-0.08381481,0.175461,-0.003421378
1,0.1555575,1.087221,0.4096828,-25.80386,0.570368,pinch,3,-1,0.01949912,1.125261,-0.01532936,-0.0836248,0.1755174,-0.003801698
1,0.1629544,1.088236,0.4126372,-8.44454,0.4014772,pinch,3,-1,0.02263161,1.124887,-0.01571035,-0.08316453,0.1757308,-0.004805608
1,0.1783102,1.08983,0.4216666,24.63838,0.8942448,pinch,3,-1,0.02576414,1.124671,-0.01591921,-0.0827802,0.1760114,-0.006370928
1,0.1896327,1.093359,0.4220958,-15.04357,0.5933735,pinch,3,-1,0.02733071,1.124723,-0.01602602,-0.08293062,0.1761749,-0.006932064
1,0.1980151,1.095734,0.4226961,-7.836408,0.4366453,pinch,3,-1,0.02888142,1.124771,-0.01616001,-0.08311328,0.1764073,-0.006899618
1,0.2034073,1.097465,0.4216409,-7.429795,0.2880494,pinch,3,-1,0.03156938,1.124399,-0.01633072,-0.08271497,0.177055,-0.006373874
1,0.2097525,1.100798,0.415813,8.691104,0.4618715,pinch,3,-1,0.03281864,1.124322,-0.0163002,-0.08209016,0.1775613,-0.00729044
1,0.2110223,1.101378,0.4150715,-19.14139,0.07904379,pinch,3,-1,0.03541888,1.124598,-0.01624823,-0.08146804,0.1785199,-0.008573014
1,0.2162564,1.101501,0.4147234,9.165421,0.2623522,pinch,3,-1,0.03667024,1.124682,-0.01604319,-0.081534,0.1789603,-0.00876527
1,0.2185614,1.102362,0.415946,-6.248155,0.1373891,pinch,3,-1,0.03908187,1.125013,-0.0154624,-0.08237135,0.1796333,-0.009130593
1,0.2212032,1.106316,0.4166474,5.147418,0.2403375,pinch,3,-1,0.04030979,1.125275,-0.01515484,-0.08263074,0.1799918,-0.008758076
1,0.2216325,1.106616,0.4152856,-8.369321,0.07295106,pinch,3,-1,0.04122839,1.125384,-0.01477766,-0.08274788,0.1800049,-0.008067129
1,0.2228538,1.107152,0.4139767,1.024491,0.09344089,pinch,3,-1,0.04327769,1.125463,-0.01351404,-0.08288861,0.1795839,-0.008531908
1,0.2231028,1.108361,0.4112458,2.81978,0.1498365,pinch,3,-1,0.04551008,1.126355,-0.01175261,-0.08413542,0.1789464,-0.007668163
1,0.2231041,1.107731,0.4099951,-3.990942,0.07001764,pinch,3,-1,0.04656736,1.126721,-0.01072598,-0.08511484,0.1781695,-0.007315815
1,0.2234535,1.106865,0.4136643,5.964975,0.1893171,pinch,3,-1,0.04750845,1.126991,-0.009558678,-0.08610979,0.1772826,-0.008041848
1,0.2255698,1.107004,0.416379,-0.8534759,0.1722476,pinch,3,-1,0.04941484,1.127763,-0.007181168,-0.08710584,0.1755423,-0.009107198
1,0.2271459,1.106288,0.4200397,1.510758,0.2024628,pinch,3,-1,0.05022039,1.128202,-0.005907536,-0.08726487,0.1746871,-0.009666453
1,0.2289688,1.107193,0.424016,1.043744,0.2233377,pinch,3,-1,0.05217055,1.128928,-0.002824783,-0.08802817,0.1725806,-0.00858347
1,0.2315451,1.107878,0.4298167,4.793304,0.3192037,pinch,3,-1,0.05317994,1.129347,-0.001065254,-0.08833985,0.1714844,-0.007729926
1,0.2326346,1.108675,0.4314389,-10.68461,0.1055116,pinch,3,-1,0.05500196,1.130217,0.00267458,-0.0895252,0.169677,-0.007056721
1,0.235852,1.111096,0.4393482,16.91243,0.4437602,pinch,3,-1,0.05596665,1.130524,0.004608631,-0.08979721,0.1687504,-0.007051249
1,0.2346783,1.111474,0.4406447,-17.71459,0.08946839,pinch,3,-1,0.05671769,1.130748,0.006594658,-0.08946038,0.1681142,-0.007288279
1,0.2352434,1.113579,0.4403763,1.016602,0.1098004,pinch,3,-1,0.05750336,1.131012,0.008620739,-0.08902779,0.1673508,-0.007398655
1,0.2345274,1.11298,0.4435401,2.756904,0.1649385,pinch,3,-1,0.05910255,1.131573,0.0125494,-0.08746047,0.1658537,-0.006270045
1,0.2384415,1.116154,0.4524059,17.24821,0.5099027,pinch,3,-1,0.0608211,1.132211,0.01697874,-0.08561837,0.1638033,-0.004922021
1,0.2412783,1.112877,0.463172,3.51969,0.5802965,pinch,3,-1,0.0616106,1.132636,0.01917362,-0.08521406,0.1628879,-0.005670825
1,0.2410171,1.112071,0.4655447,-22.71653,0.1259658,pinch,3,-1,0.06312671,1.133181,0.02330828,-0.08306246,0.1622613,-0.006748621
1,0.2454689,1.109742,0.4786444,28.77688,0.7015034,pinch,3,-1,0.06388348,1.133249,0.02534628,-0.08131924,0.1620944,-0.006964319
1,0.2484533,1.10756,0.488081,-9.737388,0.5067557,pinch,3,-1,0.06534591,1.133524,0.02895832,-0.07751086,0.1620693,-0.005682437
1,0.2511694,1.105507,0.4963551,-2.969708,0.4473615,pinch,1,0,0.06593375,1.13382,0.03100109,-0.07619383,0.1622329,-0.00545024
1,0.2525073,1.101857,0.5042839,-0.2920792,0.4415199,pinch,1,0,0.06651025,1.133759,0.03292942,-0.0754462,0.1623933,-0.005939388
1,0.2515644,1.102104,0.5046372,-19.48414,0.05183716,pinch,1,0,0.06780411,1.133974,0.03697586,-0.07336371,0.1622413,-0.006033138
1,0.2539342,1.100812,0.5100379,12.50204,0.3018779,pinch,1,0,0.06839449,1.134151,0.03896332,-0.07288948,0.1623171,-0.005964856
1,0.2560162,1.099552,0.5159159,0.8105144,0.3180882,pinch,1,0,0.06949117,1.13433,0.04279327,-0.07238732,0.1621975,-0.005284571
1,0.2602935,1.096822,0.5338001,30.57129,0.929514,pinch,1,0,0.06949117,1.13433,0.04279327,-0.07238732,0.1621975,-0.005284571
1,0.2602935,1.096822,0.5338001,-46.4757,0,pinch,1,0,0.070517,1.134721,0.04627848,-0.07114767,0.1620442,-0.004808507
1,0.2593436,1.096186,0.535459,5.036889,0.1007378,pinch,1,0,0.07156045,1.135161,0.05002117,-0.06983749,0.1620739,-0.003663637
1,0.2573844,1.097407,0.5346313,1.095019,0.1226382,pinch,1,0,0.07205934,1.135245,0.05174208,-0.06884073,0.1624938,-0.002501247
1,0.2543485,1.098998,0.5347643,2.443137,0.1715009,pinch,1,0,0.07309464,1.135796,0.05533981,-0.06769176,0.1629455,-0.001554867
1,0.2526404,1.09878,0.5368757,-1.76365,0.1362279,pinch,1,0,0.07309464,1.135796,0.05533981,-0.06769176,0.1629455,-0.001554867
