Case,X,Y,Z,a,v,modeSelected,area_type,index,headX,headY,headZ,eyeX,eyeY,eyeZ,thumbX,thumbY,thumbZ
1,-0.1650756,1.011552,0.4510355,118.4651,2.369302,pinch,3,-1,-0.06524005,1.102028,0.1257329,-0.06921891,0.1688242,0.06108492,-0.1751477,0.9811558,0.4227366
1,-0.1397875,1.012474,0.4382229,-47.55569,1.418188,pinch,3,-1,-0.06101654,1.102082,0.1253376,-0.06897877,0.1783096,0.0605178,-0.1489108,0.9814389,0.4125881
1,-0.1253151,1.012419,0.4335012,-32.85124,0.761163,pinch,3,-1,-0.05678631,1.102074,0.1249442,-0.06883138,0.1869861,0.05990453,-0.1339551,0.9797333,0.4090443
1,-0.1125243,1.012968,0.4286227,-3.806821,0.6850266,pinch,3,-1,-0.04844905,1.101879,0.1242638,-0.06780265,0.2015835,0.05889921,-0.1211111,0.9783704,0.405714
1,-0.08751251,1.012649,0.4110637,42.15277,1.528082,pinch,3,-1,-0.04438645,1.102111,0.1242042,-0.06741568,0.2051914,0.0596366,-0.09322254,0.9819076,0.3926177
1,-0.07310072,1.010045,0.4124475,-39.62814,0.7355193,pinch,3,-1,-0.03645851,1.102442,0.1240201,-0.06792559,0.2176241,0.05911462,-0.07915526,0.9795094,0.3933187
1,-0.05907664,1.009146,0.4122095,-1.638702,0.7027453,pinch,3,-1,-0.03264396,1.102708,0.1241531,-0.06863385,0.2214076,0.05869639,-0.06564062,0.9787647,0.3923049
1,-0.03955756,1.011053,0.4078012,15.11633,1.005072,pinch,3,-1,-0.02885969,1.102803,0.1242986,-0.06908856,0.2252319,0.05857292,-0.04813411,0.9804118,0.3868561
1,-0.009159863,1.012529,0.4020905,27.15791,1.54823,pinch,3,-1,-0.02129469,1.103009,0.1247373,-0.06911331,0.2303702,0.05795966,-0.02093606,0.9811648,0.3789301
1,0.02571405,1.016635,0.3907614,14.83138,1.844858,pinch,3,-1,-0.01374561,1.103593,0.1253238,-0.06988434,0.2346672,0.05747637,0.01199913,0.9856735,0.3682513
1,0.05767552,1.020958,0.3853159,-10.4703,1.635452,pinch,3,-1,-0.01374561,1.103593,0.1253238,-0.06988434,0.2346672,0.05747637,0.0417233,0.9886294,0.3632321
1,0.05767552,1.020958,0.3853159,-81.77258,0,pinch,3,-1,-0.002694931,1.104374,0.1261892,-0.07147373,0.2412873,0.05565171,0.0417233,0.9886294,0.3632321
1,0.09671172,1.026752,0.3732591,103.1615,2.06323,pinch,3,-1,-0.002694931,1.104374,0.1261892,-0.07147373,0.2412873,0.05565171,0.07736377,0.9898747,0.3518982
1,0.09671172,1.026752,0.3732591,-103.1615,0,pinch,3,-1,0.0009119008,1.104735,0.1266479,-0.07197469,0.2432241,0.05483317,0.07736377,0.9898747,0.3518982
1,0.1087026,1.030787,0.3716669,31.87836,0.6375671,pinch,3,-1,0.01180204,1.105662,0.127821,-0.07378336,0.2499942,0.05274261,0.08836901,0.9934948,0.3504682
1,0.1364507,1.042861,0.3640141,46.15536,1.560674,pinch,3,-1,0.01518519,1.105925,0.1283231,-0.07434729,0.2518829,0.05228309,0.1176625,1.006923,0.3443947
1,0.1576091,1.050176,0.3571873,-19.52088,1.170257,pinch,3,-1,0.01856741,1.106245,0.1287894,-0.07445284,0.252708,0.05162582,0.1397147,1.013698,0.3406706
