Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
5275,31,128.42,FastTapIn,3.379997,0.4982458,15.93379, ,0
5276,31,128.44,FastTapIn,3.399997,0.2544453,-12.19003, ,0
5277,31,128.46,FastTapIn,3.419997,0.6240714,18.48131, ,0
5278,31,128.48,FastTapIn,3.439997,0.4749819,-7.454477, ,0
5452,32,133.14,FastTapIn,3.459997,0.2062012,7.992006, ,0
5453,32,133.16,FastTapIn,3.479997,0.1750217,-1.558972, ,0
5454,32,133.18,FastTapIn,3.499997,0.4353454,13.01618, ,0
5455,32,133.2,FastTapIn,3.519997,0.3079862,-6.367958, ,0
5652,35,20.3,FastTapIn,3.619997,0.290432,10.59608, ,0
5653,35,20.32,FastTapIn,3.639997,0.2561605,-1.713573, ,0
5654,35,20.34,FastTapIn,3.659997,1.089947,41.68932, ,0
5826,36,24.7,FastTapIn,3.419997,0.1956955,7.257352, ,0
5827,36,24.72,FastTapIn,3.439997,0.1854851,-0.5105212, ,0
5828,36,24.74,FastTapIn,3.459997,0.5515752,18.30451, ,0
5829,36,24.76,FastTapIn,3.479997,0.5658405,0.7132679, ,0
5830,36,24.78,FastTapIn,3.499997,0.6013536,1.775652, ,0
6044,39,30.88,FastTapIn,3.479997,0.4954278,18.49339, ,0
6045,39,30.9,FastTapIn,3.499997,0.3368964,-7.926573, ,0
6046,39,30.92,FastTapIn,3.519997,0.7398258,20.14647, ,0
6221,40,35.46,FastTapIn,3.479997,0.182229,7.208904, ,0
6222,40,35.48,FastTapIn,3.499997,0.1237895,-2.921974, ,0
6223,40,35.5,FastTapIn,3.519997,0.1671706,2.169057, ,0
6224,40,35.52,FastTapIn,3.539997,0.4707186,15.1774, ,0
6225,40,35.54,FastTapIn,3.559997,0.3090412,-8.083867, ,0
6402,41,40.14,FastTapIn,3.519997,0.358749,12.61864, ,0
6403,41,40.16,FastTapIn,3.539997,0.2948186,-3.196518, ,0
6404,41,40.18,FastTapIn,3.559997,0.7542307,22.9706, ,0
6580,42,44.5,FastTapIn,3.499997,0.3292559,11.20861, ,0
6581,42,44.52,FastTapIn,3.519997,0.1923834,-6.843624, ,0
6582,42,44.54,FastTapIn,3.539997,0.6490895,22.8353, ,0
6765,43,48.98,FastTapIn,3.639997,0.298224,10.55517, ,0
6766,43,49.0,FastTapIn,3.659997,0.2359757,-3.112415, ,0
6767,43,49.02,FastTapIn,3.679997,0.7448206,25.44224, ,0
6942,44,53.34,FastTapIn,3.479997,0.6205782,22.04682, ,0
6943,44,53.36,FastTapIn,3.499997,0.4333668,-9.360567, ,0
7120,45,57.86,FastTapIn,3.519997,0.1902586,6.244184, ,0
7121,45,57.88,FastTapIn,3.539997,0.1669308,-1.166391, ,0
7122,45,57.9,FastTapIn,3.559997,0.2241678,2.861853, ,0
7123,45,57.92,FastTapIn,3.579997,0.6078315,19.18319, ,0
7124,45,57.94,FastTapIn,3.599997,0.3229619,-14.24348, ,0
7299,46,62.36,FastTapIn,3.479997,0.2298277,7.089128, ,0
7300,46,62.38,FastTapIn,3.499997,0.1678506,-3.098855, ,0
7301,46,62.4,FastTapIn,3.519997,0.3802808,10.62151, ,0
7302,46,62.42,FastTapIn,3.539997,0.3213587,-2.946109, ,0
7303,46,62.44,FastTapIn,3.559997,0.3457589,1.220012, ,0
7485,47,18.7,FastTapIn,3.619997,0.2463803,6.169236, ,0
7486,47,18.72,FastTapIn,3.639997,0.1222835,-6.204843, ,0
7659,48,23.56,FastTapIn,3.439997,0.1996671,7.964811, ,0
7660,48,23.58,FastTapIn,3.459997,0.1715836,-1.404174, ,0
7834,49,27.82,FastTapIn,3.459997,0.5875379,19.96324, ,0
8003,50,31.84,FastTapIn,3.359998,0.2698039,10.16709, ,0
8004,50,31.86,FastTapIn,3.379997,0.2163916,-2.670617, ,0
8005,50,31.88,FastTapIn,3.399997,0.2981441,4.087628, ,0
8174,51,35.84,FastTapIn,3.359998,0.1632926,7.37077, ,0
8175,51,35.86,FastTapIn,3.379997,0.2169629,2.683517, ,0
8176,51,35.88,FastTapIn,3.399997,0.6210127,20.20249, ,0
8348,52,39.9,FastTapIn,3.419997,0.2079966,8.38034, ,0
8349,52,39.92,FastTapIn,3.439997,0.215227,0.3615223, ,0
8350,52,39.94,FastTapIn,3.459997,0.2222924,0.3532693, ,0
8521,53,43.94,FastTapIn,3.399997,0.1714375,7.251563, ,0
8522,53,43.96,FastTapIn,3.419997,0.1509391,-1.024923, ,0
8523,53,43.98,FastTapIn,3.439997,0.4674909,15.82759, ,0
8524,53,44.0,FastTapIn,3.459997,0.4328667,-1.731208, ,0
8697,54,48.06,FastTapIn,3.439997,0.2106554,7.582538, ,0
8698,54,48.08,FastTapIn,3.459997,0.2095327,-0.05613491, ,0
8699,54,48.1,FastTapIn,3.479997,0.6440746,21.72709, ,0
8872,55,52.18,FastTapIn,3.439997,0.2018413,6.877792, ,0
8873,55,52.2,FastTapIn,3.459997,0.1194705,-4.118542, ,0
8874,55,52.22,FastTapIn,3.479997,0.220591,5.056026, ,0
9049,56,56.36,FastTapIn,3.479997,0.2136334,9.781834, ,0
9050,56,56.38,FastTapIn,3.499997,0.2040187,-0.480739, ,0
9232,57,18.7,FastTapIn,3.619997,0.2463803,6.169236, ,0
9233,57,18.72,FastTapIn,3.639997,0.1222835,-6.204843, ,0
9406,58,23.56,FastTapIn,3.439997,0.1996671,7.964811, ,0
9407,58,23.58,FastTapIn,3.459997,0.1715836,-1.404174, ,0
9581,59,27.82,FastTapIn,3.459997,0.5875379,19.96324, ,0
9750,60,31.84,FastTapIn,3.359998,0.2698039,10.16709, ,0
9751,60,31.86,FastTapIn,3.379997,0.2163916,-2.670617, ,0
9752,60,31.88,FastTapIn,3.399997,0.2981441,4.087628, ,0
9921,61,35.84,FastTapIn,3.359998,0.1632926,7.37077, ,0
9922,61,35.86,FastTapIn,3.379997,0.2169629,2.683517, ,0
9923,61,35.88,FastTapIn,3.399997,0.6210127,20.20249, ,0
10095,62,39.9,FastTapIn,3.419997,0.2079966,8.38034, ,0
10096,62,39.92,FastTapIn,3.439997,0.215227,0.3615223, ,0
10097,62,39.94,FastTapIn,3.459997,0.2222924,0.3532693, ,0
10268,63,43.94,FastTapIn,3.399997,0.1714375,7.251563, ,0
10269,63,43.96,FastTapIn,3.419997,0.1509391,-1.024923, ,0
10270,63,43.98,FastTapIn,3.439997,0.4674909,15.82759, ,0
10271,63,44.0,FastTapIn,3.459997,0.4328667,-1.731208, ,0
10444,64,48.06,FastTapIn,3.439997,0.2106554,7.582538, ,0
10445,64,48.08,FastTapIn,3.459997,0.2095327,-0.05613491, ,0
10446,64,48.1,FastTapIn,3.479997,0.6440746,21.72709, ,0
10619,65,52.18,FastTapIn,3.439997,0.2018413,6.877792, ,0
10620,65,52.2,FastTapIn,3.459997,0.1194705,-4.118542, ,0
10621,65,52.22,FastTapIn,3.479997,0.220591,5.056026, ,0
10796,66,56.36,FastTapIn,3.479997,0.2136334,9.781834, ,0
10797,66,56.38,FastTapIn,3.499997,0.2040187,-0.480739, ,0
11058,75,33.96,FastTapIn,3.599997,0.240368,8.471191, ,0
11059,75,33.98,FastTapIn,3.619997,0.1772955,-3.153627, ,0
11060,75,34.0,FastTapIn,3.639997,0.4128824,11.77935, ,0
11240,76,40.24,FastTapIn,3.579997,0.1871731,5.459949, ,0
11241,76,40.26,FastTapIn,3.599997,0.1170232,-3.507493, ,0
11242,76,40.28,FastTapIn,3.619997,0.2522861,6.763142, ,0
11243,76,40.3,FastTapIn,3.639997,0.1489592,-5.166344, ,0
11244,76,40.32,FastTapIn,3.659997,0.3641862,10.76135, ,0
11432,77,45.18,FastTapIn,3.739997,0.2521744,8.095572, ,0
11433,77,45.2,FastTapIn,3.759997,0.1725226,-3.98259, ,0
11434,77,45.22,FastTapIn,3.779997,0.4420897,13.47835, ,0
