Case,X,Y,Z,a,v,modeSelected,area_type,index,is_triggered,,,,,
49,0.09233958,1.03787,0.4149709,71.19869,2.18232,Tap,3,-1,-0.009085733,1.106416,-0.0217247,-0.01542261,0.1594363,0.002007646
49,0.1068566,1.040456,0.4141221,-72.19106,0.7384987,Tap,3,-1,-0.00830638,1.106428,-0.02176523,-0.01510468,0.1593117,0.002095537
49,0.1199172,1.042087,0.4134388,-3.975448,0.6589898,Tap,3,-1,-0.006819627,1.10625,-0.02179527,-0.01427707,0.1592989,0.002322417
49,0.1415847,1.047942,0.4122019,23.24742,1.123938,Tap,3,-1,-0.006040826,1.10606,-0.0218482,-0.01392853,0.1592589,0.002332675
49,0.152892,1.0499,0.4127383,-27.47703,0.5743975,Tap,3,-1,-0.004598298,1.105892,-0.02172089,-0.01272115,0.1592067,0.000721269
49,0.1809793,1.05505,0.4208713,45.50834,1.484564,Tap,3,-1,-0.003930725,1.105816,-0.02159786,-0.01215051,0.15939,-0.000633274
49,0.1878574,1.055974,0.4241467,-55.04339,0.3836966,Tap,3,-1,-0.00254748,1.105648,-0.02141571,-0.01150161,0.1596238,-0.001975111
49,0.2025735,1.06179,0.4274092,21.20695,0.8078356,Tap,3,-1,-0.001828242,1.105668,-0.02120829,-0.01144452,0.1596272,-0.002555716
49,0.2121321,1.064004,0.4283953,-15.73932,0.4930492,Tap,3,-1,-0.000602115,1.10562,-0.02098942,-0.01054007,0.1600312,-0.004624729
49,0.2359167,1.067685,0.4422836,44.81649,1.389379,Tap,3,-1,-3.06E-05,1.105602,-0.0207901,-0.01030183,0.1606314,-0.005610739
49,0.2436,1.068131,0.4480286,-45.45921,0.4801947,Tap,3,-1,0.000536352,1.105631,-0.02059793,-0.01001675,0.1611614,-0.006067059
49,0.2467343,1.06944,0.4499698,-14.22923,0.19561,Tap,3,-1,0.001826644,1.105794,-0.02025652,-0.009721983,0.1624658,-0.006831743
49,0.2549887,1.075768,0.4602003,26.69224,0.7294548,Tap,3,-1,0.002346159,1.105698,-0.02012253,-0.009504406,0.1632031,-0.007051273
49,0.2575849,1.077443,0.4594531,-28.52567,0.1589413,Tap,3,-1,0.003344215,1.105575,-0.01981258,-0.009074965,0.1646858,-0.007080279
49,0.2597176,1.081405,0.4596357,3.310782,0.2251569,Tap,3,-1,0.003743826,1.105596,-0.01969957,-0.008497016,0.1653728,-0.006843952
49,0.259216,1.08389,0.4590912,-4.774011,0.1296767,Tap,3,-1,0.004510593,1.105493,-0.01950026,-0.007158115,0.1668024,-0.006430312
49,0.2573774,1.089185,0.4576006,8.015883,0.2899944,Tap,3,-1,0.004791185,1.105559,-0.01939392,-0.00671031,0.167441,-0.005919259
49,0.2568506,1.091256,0.4575272,-9.153833,0.1069177,Tap,3,-1,0.005287093,1.105333,-0.01927853,-0.005349854,0.1684009,-0.005158571
49,0.2521336,1.095391,0.4526482,14.52093,0.3973362,Tap,3,-1,0.00544896,1.105217,-0.01926279,-0.00422344,0.168625,-0.005360746
49,0.2520713,1.09605,0.457284,-8.15978,0.2341407,Tap,3,-1,0.005730926,1.105075,-0.01913691,-0.002657046,0.1691255,-0.004526437
49,0.2530395,1.095914,0.4687366,17.0288,0.5747167,Tap,3,-1,0.005974607,1.104885,-0.0191555,-0.001696505,0.168903,-0.004073596
49,0.2515417,1.097432,0.4699025,-22.65904,0.1215358,Tap,3,-1,0.005974607,1.104885,-0.0191555,-0.001696505,0.168903,-0.004073596
49,0.2515417,1.097432,0.4699025,-6.076791,0,Tap,3,-1,0.006476172,1.104332,-0.01925135,0.000903058,0.1692949,-0.002463179
49,0.2499674,1.097478,0.4783273,21.42681,0.4285361,Tap,3,-1,0.006608942,1.104278,-0.01937246,0.001109625,0.1694669,-0.002017237
49,0.2478641,1.098313,0.4861193,-1.141843,0.4056992,Tap,3,-1,0.006902579,1.104272,-0.01963425,0.000244172,0.170044,-0.00187759
49,0.2464829,1.097517,0.4917235,-5.718413,0.291331,Tap,3,-1,0.006998003,1.104327,-0.01976299,-0.000587771,0.1704064,-0.001840651
49,0.2417366,1.098069,0.4889717,-0.7813632,0.2757037,Tap,3,-1,0.007016116,1.104507,-0.02009296,-0.001726945,0.1709797,-0.00245476
49,0.2377174,1.09864,0.4871178,-2.628136,0.223141,Tap,3,-1,0.007063796,1.10454,-0.02032185,-0.001898909,0.1709979,-0.002244503
49,0.2385143,1.098359,0.4892073,-5.522416,0.1126927,Tap,3,-1,0.007080759,1.104576,-0.02054834,-0.001949919,0.1710797,-0.002019125
49,0.2388155,1.098231,0.4911852,-0.6225013,0.1002426,Tap,3,-1,0.006892526,1.104706,-0.02091885,-0.002616959,0.1707804,-0.002353623
49,0.2386152,1.096686,0.4921255,-0.463707,0.0909685,Tap,3,-1,0.006780919,1.104775,-0.02107573,-0.003154299,0.1706747,-0.002306409
50,0.2387511,1.096703,0.4950848,2.857615,0.1481208,Tap,1,0,0.004957944,1.105361,-0.02270794,-0.008031904,0.1669265,-0.001061508
50,0.2377196,1.096044,0.4969058,-1.920841,0.109704,Tap,1,0,0.004957944,1.105361,-0.02270794,-0.008031904,0.1669265,-0.001061508
50,0.2377196,1.096044,0.4969058,-5.485199,0,Tap,4,-1,0.004957944,1.105361,-0.02270794,-0.008031904,0.1669265,-0.001061508
50,0.2377196,1.096044,0.4969058,0,0,Tap,4,-1,0.004957944,1.105361,-0.02270794,-0.008031904,0.1669265,-0.001061508
50,0.2377196,1.096044,0.4969058,0,0,Tap,4,-1,0.004957944,1.105361,-0.02270794,-0.008031904,0.1669265,-0.001061508
50,0.2377196,1.096044,0.4969058,0,0,Tap,4,-1,0.004957944,1.105361,-0.02270794,-0.008031904,0.1669265,-0.001061508
50,0.2377196,1.096044,0.4969058,0,0,Tap,4,-1,0.004957944,1.105361,-0.02270794,-0.008031904,0.1669265,-0.001061508
50,0.2377196,1.096044,0.4969058,0,0,Tap,4,-1,0.004957944,1.105361,-0.02270794,-0.008031904,0.1669265,-0.001061508
50,0.2377196,1.096044,0.4969058,0,0,Tap,4,-1,0.004957944,1.105361,-0.02270794,-0.008031904,0.1669265,-0.001061508
50,0.2377196,1.096044,0.4969058,0,0,Tap,4,-1,0.004957944,1.105361,-0.02270794,-0.008031904,0.1669265,-0.001061508
50,0.2377196,1.096044,0.4969058,0,0,Tap,4,-1,0.004957944,1.105361,-0.02270794,-0.008031904,0.1669265,-0.001061508
50,0.2377196,1.096044,0.4969058,0,0,Tap,4,-1,0.004957944,1.105361,-0.02270794,-0.008031904,0.1669265,-0.001061508
50,0.2377196,1.096044,0.4969058,0,0,Tap,4,-1,0.004297443,1.105724,-0.02344179,-0.009205608,0.1655859,-0.000574979
50,0.2424743,1.096158,0.505002,23.47456,0.4694912,Tap,4,-1,0.004297443,1.105724,-0.02344179,-0.009205608,0.1655859,-0.000574979
50,0.2424743,1.096158,0.505002,-23.47456,0,Tap,4,-1,0.004079394,1.105732,-0.02371836,-0.009702824,0.1648677,0.000177284
50,0.2443478,1.096277,0.5080204,8.886445,0.1777289,Tap,4,-1,0.004098106,1.105697,-0.02365398,-0.009780641,0.1651389,-0.000201909
50,0.2411023,1.094641,0.5078135,0.2141193,0.1820113,Tap,4,-1,0.004023694,1.105555,-0.02371502,-0.009895542,0.1648688,-0.00041291
50,0.2445121,1.095761,0.5078807,-0.1265712,0.1794799,Tap,4,-1,0.004090288,1.105521,-0.02371025,-0.009950843,0.1647005,-0.000332807
50,0.2446309,1.095992,0.5077882,-8.286061,0.01375862,Tap,4,-1,0.004032356,1.105566,-0.0237875,-0.009992847,0.1643888,-8.37E-05
50,0.2435871,1.097367,0.5065899,4.566005,0.1050787,Tap,4,-1,0.00400643,1.105624,-0.0238471,-0.009912314,0.1642714,-0.000417183
50,0.2449759,1.096914,0.5080848,-0.028513,0.1045085,Tap,4,-1,0.004021931,1.105635,-0.02388048,-0.01002745,0.1640743,-0.000479349
50,0.245326,1.097542,0.5087628,-2.7539,0.04943046,Tap,4,-1,0.004011396,1.10567,-0.02387905,-0.01032427,0.1636523,-0.000398068
50,0.2447567,1.099429,0.5065055,5.020487,0.1498402,Tap,4,-1,0.00393717,1.105718,-0.02388096,-0.01049272,0.1634004,-0.000655534
50,0.2447207,1.099413,0.5063925,-7.192835,0.005983511,Tap,4,-1,0.003796369,1.105843,-0.02388859,-0.01100426,0.1624871,-0.001381967
50,0.2442515,1.099941,0.5067534,1.683105,0.0396456,Tap,4,-1,0.003666718,1.105961,-0.02386618,-0.01152235,0.1616447,-0.001325914
50,0.2440096,1.099864,0.5070219,-1.058803,0.01846955,Tap,4,-1,0.003015667,1.106422,-0.02367735,-0.01368807,0.1583408,-0.001481351
50,0.2441126,1.099821,0.5076923,0.7757161,0.03398387,Tap,4,-1,0.001925372,1.107275,-0.02328014,-0.01529999,0.1550854,-0.00166927
50,0.2432795,1.099996,0.5080686,0.6274846,0.04653356,Tap,4,-1,0.000136126,1.108326,-0.02270985,-0.02054684,0.1459543,-0.002555853
50,0.2421356,1.099777,0.5085173,0.7937267,0.0624081,Tap,4,-1,-0.001067672,1.108951,-0.02243185,-0.02432041,0.1390467,-0.00292273
50,0.2420765,1.099873,0.5086923,-2.599904,0.01041002,Tap,4,-1,-0.003904569,1.110909,-0.02164221,-0.03309891,0.1235536,-0.003136888
50,0.2411976,1.100516,0.5077243,3.122652,0.07286306,Tap,4,-1,-0.00567281,1.111789,-0.02124882,-0.03900873,0.1139618,-0.003283953
50,0.2408261,1.100787,0.5070891,-1.682818,0.03920669,Tap,4,-1,-0.009660576,1.113751,-0.02031708,-0.05324949,0.09095092,-0.003827457
50,0.2399816,1.100476,0.5073228,0.36432,0.04649309,Tap,4,-1,-0.01189717,1.11448,-0.02017069,-0.0632116,0.07458863,-0.008340984
50,0.2387902,1.100482,0.506958,0.7904487,0.06230206,Tap,4,-1,-0.01569754,1.115656,-0.02021503,-0.07415896,0.05268404,-0.01184422
